id,source_type,source_id,relation,target_type,target_id,confidence,provenance
edge_0098541,Evidence,ev_biochem_004125_2bd62600dd,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098542,Evidence,ev_biochem_004125_2bd62600dd,MENTIONS_TOPIC,Topic,topic_purine_metabolism,0.8,kb_pdf
edge_0098543,Evidence,ev_biochem_004125_2bd62600dd,SUPPORTS,Condition,cond_gout_risk,0.75,kb_pdf
edge_0098544,Evidence,ev_biochem_004125_2bd62600dd,SUPPORTS,Condition,cond_hyperuricemia,0.75,kb_pdf
edge_0098545,Evidence,ev_biochem_004126_a223ddd84e,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098546,Evidence,ev_biochem_004126_a223ddd84e,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098547,Evidence,ev_biochem_004127_1684887b0c,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098548,Evidence,ev_biochem_004127_1684887b0c,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098549,Evidence,ev_biochem_004127_1684887b0c,MENTIONS_TOPIC,Topic,topic_purine_metabolism,0.8,kb_pdf
edge_0098550,Evidence,ev_biochem_004127_1684887b0c,SUPPORTS,Condition,cond_gout_risk,0.75,kb_pdf
edge_0098551,Evidence,ev_biochem_004127_1684887b0c,SUPPORTS,Condition,cond_hyperuricemia,0.75,kb_pdf
edge_0098552,Evidence,ev_biochem_004128_072ef67e75,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098553,Evidence,ev_biochem_004128_072ef67e75,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098554,Evidence,ev_biochem_004129_e76183fee3,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098555,Evidence,ev_biochem_004129_e76183fee3,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098556,Evidence,ev_biochem_004130_59e03cc1b0,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098557,Evidence,ev_biochem_004130_59e03cc1b0,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098558,Evidence,ev_biochem_004131_9ff11155cb,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098559,Evidence,ev_biochem_004131_9ff11155cb,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098560,Evidence,ev_biochem_004131_9ff11155cb,MENTIONS_TEST,Test,test_GLUCOSE,0.95,kb_pdf
edge_0098561,Evidence,ev_biochem_004131_9ff11155cb,MENTIONS_TOPIC,Topic,topic_diabetes,0.8,kb_pdf
